PENJUALAN_2021;PENJUALAN_2020;RATIO_BEBAN-PENJUALAN_2021;RATIO_BEBAN-PENJUALAN_2020;SUMBER_LABA_UTAMA_2021;SUMBER_LABA_UTAMA_2020;LABA_RUGI_2021;LABA_RUGI_2020;LIABILITAS_2021;LIABILITAS_2020;ASET_2021;ASET_2020;KAS_2021;KAS_2020;Performa
104520896;84272283;0,099392532;0,522723451;Bidang Usaha;Bidang Usaha;72379662,36;-3842008,887;48997786;92571085;182947489;183451037;11480120;19258121;baik
130874695;121727972;0,272941406;0,622110068;Bidang Usaha;Bidang Usaha;61344235,22;17632152,78;54178301;90905904;194257737;197851592;22453993;28498229;baik
131235487;117897975;0,517911063;0,216382888;Bidang usaha;Bidang usaha;36148119,33;-5547617,078;44619597;73707584;177016988;189888257;27965959;36458018;baik
113221226;78243576;0,636936395;0,754353357;Bidang Usaha;Bidang Usaha;66068466,84;35121077,69;22386337;36684646;191910106;198019379;29656173;37634836;baik
139781211;128556914;0,373914492;0,250021394;Bidang Usaha;Bidang Usaha;55845832,22;-3136257,881;39272322;63479998;170234780;192509939;15330511;20939453;baik
137280777;97852079;0,529932711;0,982609325;Bidang Usaha;Bidang Usaha;69158136,35;23279826,4;24587088;39369890;188485261;189436387;8617185;13974178;baik
99619332;93206933;0,366789326;0,633649247;Bidang Usaha;Bidang Lain ;43372288,22;-4502362,754;56980461;88538790;185583619;175051810;2273475;10190761;baik
91123043;81624382;0,580503376;0,378635975;Bidang Usaha;Bidang Usaha;8002516,724;-14784040,41;43080741;65155065;186441170;195415179;6770585;13561640;baik
144633943;93081140;0,435209741;0,615388367;Bidang Usaha;Bidang Lain ;92599012,96;56743393,26;35186755;52121362;174010344;175328785;2574022;12172738;baik
141630206;140257823;0,30168233;0,104880419;Bidang Usaha;Bidang Usaha;6643406,911;2404686,88;30719712;45250430;188951446;177924680;11782003;21492115;baik
121066887;71133432;0,260766568;0,098837397;Bidang Usaha;Bidang Usaha;72564650,99;28406361,81;23721542;34638406;185261941;181715769;29898338;36681785;baik
101146826;77267241;0,248092131;0,335689471;Bidang Usaha;Bidang Usaha;52466078,38;17475035,87;38518697;54677879;197297429;193451404;13749288;19790806;baik
127217015;123077961;0,267576231;0,379714044;Bidang Usaha;Bidang Usaha;47944086,62;533223,3586;63500835;87433087;174882652;185390701;18444929;26866144;baik
135068679;85126683;0,789293814;0,507448857;Bidang usaha;Bidang usaha;82049652,05;43127863;61623142;84555647;192375202;181945192;12789690;20749554;baik
139938930;99062735;0,803699983;0,771985352;Bidang usaha;Bidang usaha;61578860,08;-25966101,89;25590235;35004896;196187362;198427860;17374132;24998749;baik
98774976;82277060;0,385008256;0,408023071;Bidang Usaha;Bidang Usaha;15594043,12;-6317707,041;66366045;90287705;195834910;189031202;26001785;33945815;baik
80130906;72733101;0,120466032;0,004525688;Bidang Lainnya;Bidang Usaha;32695112,27;-15310337,2;20790352;28198704;188197777;176474702;8650089;15889590;buruk
136398951;95933306;0,651096662;0,821113971;Bidang Lainnya;Bidang Usaha;45716753,1;33283503,93;63516124;84501417;184874868;174701817;25941152;35318594;buruk
137219504;83726938;0,103177038;0,873430693;Bidang Usaha;Bidang Usaha;59086937,83;19486669,89;70403418;92510930;180795483;182796976;3404085;10192296;baik
113195066;91925692;0,377916999;0,911478738;Bidang Usaha;Bidang Usaha;55731765,18;-1755696,387;66829691;87547076;199821943;196191985;27334710;33473365;baik
142268971;79799442;0,344085214;0,636943805;Bidang Usaha;Bidang Usaha;56193679,43;6835976,392;74691745;95003559;190166903;170811594;14902064;23241239;baik
128232592;102519460;0,017059033;0,867596021;Bidang Usaha;Bidang Usaha;67203137,97;4494759,881;76091336;96636503;198148177;172554995;14622139;22535559;baik
120213201;108661716;0,13690281;0,926193065;Bidang usaha;Bidang usaha;68357823,24;23568532,39;24534005;30896815;193827193;170422218;16973182;23244261;baik
141670622;113105214;0,241218178;0,688627343;Bidang Usaha;Bidang Usaha;78290572,29;-747863,8521;43626050;54175139;193960826;170887196;18311582;24407532;baik
122314611;106290330;0,664477609;0,648236148;Bidang Usaha;Bidang Usaha;36473152,43;5324226,693;68427670;84507755;196253734;192157398;3663271;11590102;baik
126001991;104689823;0,034113545;0,647853351;Bidang Usaha;Bidang Usaha;78632692,94;17355921,09;69425053;84745043;188208859;172051586;8623102;15491550;baik
97941251;97190724;0,453663227;0,241719032;Bidang usaha;Bidang usaha;28420181,22;404447,2652;29004289;34899514;182226562;173582716;9882762;19814782;baik
127512231;87138094;0,628228247;0,995333839;Bidang usaha;Bidang Lainnya;79646525,95;23530343,31;27121179;32184376;186892609;195449738;29994915;36719137;baik
112212739;75676551;0,267514408;0,571766254;Bidang usaha;Bidang usaha;20869001,92;7428785,353;69521687;81694557;191847613;196910271;26360530;34340164;baik
140550487;125020146;0,935380963;0,78275386;Bidang Lainnya;Bidang Lainnya;86940080,17;85071945,53;38184404;44290019;170352248;187527822;10581557;18965667;buruk
140282471;131630924;0,461020791;0,285857099;Bidang Lainnya;Bidang Lainnya;32735767,38;-33541079,43;82931800;92180534;189080213;199826011;23225971;29289954;buruk
149720748;100898886;0,495841038;0,28274114;Bidang Lainnya;Bidang Usaha;55495400,94;51125823,02;39413747;43684063;174973103;179102544;29064505;38717270;buruk
141212322;137813449;0,920632633;0,821660595;Bidang usaha;Bidang usaha;70001751,47;-6818858,168;77946116;84355852;189443997;194304909;20667470;25737015;baik
139522105;110176102;0,42241148;0,706106916;Bidang Usaha;Bidang Usaha;74207436,7;54882211,06;38130054;40602410;197991625;193040716;23032644;31361188;baik
128490525;98799114;0,581450651;0,942564378;Bidang usaha;Bidang Lainnya;14396465,78;-3879362,65;72759437;76290742;191917383;197035804;23218355;29725638;baik
111435352;60166325;0,897750026;0,764346767;Bidang Usaha;Bidang Usaha;56299216,49;-14590625,68;26876959;27935164;179610397;181755650;6443451;15046503;baik
106996395;93206807;0,831355687;0,695170649;Bidang usaha;Bidang usaha;41486509,35;13902202,16;57811573;59163654;171962556;192595788;1922553;10354760;baik
113117932;61004842;0,93915176;0,650736624;Bidang Usaha;Bidang Usaha;56024185,82;2433314,619;75096642;76174344;196388350;174653683;20360100;28971474;baik
127993769;63567055;0,050656851;0,173318575;Bidang Usaha;Bidang Usaha;56698169,6;-10544648,14;62543810;61765009;184406974;186132734;24485388;33603630;baik
114176504;83862954;0,361623805;0,961114601;Bidang usaha;Bidang usaha;35520108,87;3615105,224;50167329;49056521;187248739;181762943;22302866;27862233;baik
145134718;95268947;0,307715809;0,462065398;Bidang Usaha;Bidang Usaha;84440960,12;50759378,26;76812668;74130027;171531556;187611168;22432169;30458552;baik
104424462;100975844;0,14736106;0,62505012;Bidang Usaha;Bidang Usaha;55473210,69;52596105,33;73866413;69802132;170950535;178253954;5377748;11065792;baik
127867556;104338134;0,665387383;0,857715888;Bidang Lainnya;Bidang Usaha;54814088,89;54543050,99;57749222;54219531;175162260;192006010;12452828;19468086;buruk
125527499;86308740;0,372173374;0,443878344;Bidang usaha;Bidang usaha;29315431,73;3057582,105;29925442;28083906;197629418;197210342;5288064;11471494;baik
113841422;66098504;0,649147389;0,468355715;Bidang Usaha;Bidang Usaha;79334471,64;19475495,5;46735049;43781562;188057715;181392653;29865855;35424054;baik
122389793;120542041;0,277894596;0,958912569;Bidang Usaha;Bidang Usaha;65911058,05;32599930,68;70799481;64579635;176553541;186782566;6418335;12384207;baik
131629635;120854573;0,228209797;0,50899915;Bidang Usaha;Bidang Usaha;79354656,93;40462749,37;42101814;37663355;196508744;192388796;12854666;22637269;baik
142972760;124407771;0,517108857;0,275837658;Bidang usaha;Bidang Lainnya;56784742,46;-16731753,12;79780804;69862080;181593867;199240021;25283998;33036362;baik
122565055;72737182;0,904813694;0,656910953;Bidang Lainnya;Bidang Usaha;49228945,45;-1523424,64;60755889;51392052;181719171;182593087;25981217;32492683;buruk
111514065;60372397;0,194197471;0,107630459;Bidang Usaha;Bidang Usaha;33047843,76;-13963218,69;61651840;50347490;185752095;181105024;28514400;36186675;baik
107305693;84557518;0,156745957;0,515710564;Bidang Usaha;Bidang Usaha;72838242,62;38573344,25;38763711;31586773;171474722;195757911;27692818;34159189;baik
86831229;73812960;0,348603611;0,17950494;Bidang usaha;Bidang usaha;51567430,75;50692984,2;51027143;39657689;174068996;170466403;10249172;16448006;baik
129378243;63998570;0,027203685;0,589170321;Bidang Usaha;Bidang Usaha;39750844,09;-5972287,896;39143595;30123097;171799033;170259147;19384545;27150794;baik
137541623;64583328;0,374735659;0,670180827;Bidang Usaha;Bidang Usaha;47585853,2;-765021,989;76159020;57441862;177005447;173117197;17013396;25842171;baik
91702418;77058019;0,597721905;0,580983209;Bidang Usaha;Bidang Usaha;30142137,13;13709868,75;37309618;26725689;174708539;175049074;21275659;27859061;baik
132564742;96732169;0,110285689;0,585950206;Bidang Usaha;Bidang Usaha;83570427,59;34995854,13;53526580;37598992;195710364;186831215;32690340;37863019;baik
125238080;119869151;0,305746264;0,843969335;Bidang usaha;Bidang Lainnya;75364542,54;-13809104,27;59371077;39219103;178719755;182744254;12832059;19203029;buruk
105468369;63954262;0,166256493;0,701211888;Bidang usaha;Bidang usaha;37663892,71;-453085,7008;42854088;27933477;183338012;174788078;10701768;17954286;buruk
138491243;120682737;0,738812629;0,567393053;Bidang Usaha;Bidang Usaha;56768815,3;-33035724,21;74549966;48077208;193594610;170707117;24444932;33629056;buruk
122746138;96238722;0,56516795;0,738399257;Bidang Usaha;Bidang Usaha;73323736,84;47367285,32;74561539;44449546;174768441;193713252;27666593;36605393;buruk
125926769;75758246;0,773538573;0,688560376;Bidang usaha;Bidang usaha;11631752,31;-5986902,685;65497371;38825886;176227926;198093705;13721535;23713999;buruk
123071529;113015260;0,192360283;0,598610306;Bidang Usaha;Bidang Usaha;14510351,83;-2951155,513;42727537;24498513;198190881;170477789;17430770;22707691;buruk
113173095;98483678;0,420009549;0,516358099;Bidang Usaha;Bidang Usaha;72363033,93;65849339,1;75558048;38652531;193227156;171300836;13177779;18747761;buruk
142524212;105088633;0,281085265;0,266743746;Bidang Lainnya;Bidang Usaha;44053781,69;-16652067,13;47343906;23004287;196232427;194041000;18941802;26134820;buruk
106848272;79943539;0,399880889;0,326560876;Bidang usaha;Bidang Lainnya;14708892,76;-18468345,12;84699154;38641980;193419955;175686317;31965448;37057912;buruk
123296716;104119423;0,15762403;0,362127812;Bidang Usaha;Bidang Usaha;58748664,81;24542945,97;57895086;26332501;197258126;198808373;28923291;34041729;buruk
92708350;66302758;0,449413728;0,240222171;Bidang Usaha;Bidang Usaha;40409509,33;3699157,397;83344126;31081445;188257908;192677204;26049868;34896605;buruk
147602749;133574981;0,131008026;0,879550737;Bidang usaha;Bidang usaha;40579354,61;3939046,527;63177052;20696906;170752927;173895807;26490101;34040647;buruk
61504381;61516677;0,118773927;0,561707019;Bidang usaha;Bidang usaha;5719508,646;-14612741,49;78965685;25610494;186304760;187052502;24991219;32497420;buruk
90391084;66577902;0,362978709;0,769354977;Bidang Usaha;Bidang Usaha;52223982,93;16896302,37;80064955;24201320;177908930;181329305;16343729;21853349;buruk
127371359;95433300;0,289288979;0,075214146;Bidang Usaha;Bidang Usaha;74539677,38;19412295,6;87867257;28046176;192303728;196626754;6921206;13240704;buruk
128757696;113807524;0,663380134;0,864370554;Bidang Usaha;Bidang Usaha;39738757,98;12670278,42;79680127;60959571;173789296;174570260;10537928;18106169;buruk
124440266;66160604;0,286241038;0,211181633;Bidang Lainnya;Bidang Usaha;43989327,82;-16088958,58;83067715;67610982;176668400;182465177;18964807;24142906;buruk
97897456;75283179;0,320138177;0,065082799;Bidang Lainnya;Bidang Lainnya;16562109,17;-16089082,92;83328228;78401583;176746714;178165683;14711166;20782835;buruk
95248951;69041559;0,932686107;0,725595681;Bidang usaha;Bidang usaha;6759325,705;-5484231,337;83062266;98752166;175926089;176036633;25260971;33719431;buruk
135783976;92021535;0,026626975;0,374244787;Bidang usaha;Bidang usaha;69090606,74;6293076,706;88247787;66618320;185284413;178156853;20805778;29236560;buruk
134637826;80318816;0,263158056;0,216548824;Bidang Usaha;Bidang Usaha;44696829,47;40570896,74;95367862;28564874;199772420;192154861;9797416;16277799;buruk
121637712;112657261;0,309290974;0,782089675;Bidang Usaha;Bidang Usaha;77343326,65;6611838,309;91751824;79641219;190478398;196590807;5902724;11442380;buruk
121951603;120961954;0,456792467;0,352086003;Bidang Usaha;Bidang Usaha;51030774,21;44286441,2;90406824;42508561;186903953;172490969;6420150;12575483;buruk
146069622;80650626;0,469356341;0,529281608;Bidang Lainnya;Bidang Usaha;5149037,261;2470014,612;84581894;33681079;174702287;191729908;22723685;29104579;buruk
148685037;69578319;0,584801224;0,87657204;Bidang Usaha;Bidang Usaha;34582898,57;22991456,56;90047009;32584093;185779062;184784602;15199558;25114047;buruk
92268454;80603454;0,303292363;0,932141554;Bidang usaha;Bidang usaha;48529250,39;-17678727,01;93732708;71443809;192822441;171694393;12989508;19756224;buruk
109501570;60042111;0,070951932;0,838677549;Bidang usaha;Bidang usaha;43803905,4;-15770756,16;83348298;41998682;170424044;196843960;24215813;32493729;buruk
132058164;119328882;0,428514591;0,716968105;Bidang usaha;Bidang Lainnya;21576987,43;-19019269,69;88736541;84990002;179779253;183168036;29887203;38601221;buruk
135372662;120414121;0,526997154;0,761321317;Bidang Usaha;Bidang Usaha;41938654,05;15657611,25;86438040;98797449;174712846;198445215;9794341;18047117;buruk
130080903;89287700;0,632604887;0,9811683;Bidang usaha;Bidang usaha;3530781,847;2455404,85;90558569;55376602;181797286;177894398;17190712;24558447;buruk
90389533;75240754;0,111481691;0,167447988;Bidang usaha;Bidang usaha;32320547,21;6355848,479;86648587;66166951;173588393;195436047;19349143;25036871;buruk
144839152;92643828;0,101855102;0,211685007;Bidang Usaha;Bidang Usaha;18658387,78;-26882636,63;96453559;43024282;192573529;178382459;8808771;17914891;buruk
146415316;109848605;0,382790347;0,745403791;Bidang Usaha;Bidang Usaha;25394053,02;15469660,01;98552629;28572637;196086898;195243956;27960672;36057034;buruk
136611835;83902624;0,515247968;0,509505547;Bidang usaha;Bidang usaha;59101668,9;13523021,79;88468812;96027087;170904600;190581309;13821706;19318682;buruk
125244783;70134447;0,212702558;0,581639667;Bidang Lainnya;Bidang Usaha;50383815,32;44048118,74;93278109;83616930;179005209;179997950;19412045;28082737;buruk
86815375;83805035;0,425858167;0,299535905;Bidang usaha;Bidang usaha;48817480,33;10627153,66;90081795;85854977;171869409;196408295;17034390;23138305;buruk
135368860;126772538;0,889567574;0,863618049;Bidang usaha;Bidang usaha;67070890,14;26860102,49;94961201;93119103;173498023;179853305;22870136;27939948;buruk
128193398;114726912;0,455757072;0,584187406;Bidang Lainnya;Bidang Usaha;14357754,06;-7370388,8;99273359;95472289;181116224;172478399;22274648;28119786;buruk
93116371;75538620;0,336441066;0,653580965;Bidang Usaha;Bidang Usaha;26235477,05;-8717680,134;95195468;94984030;173622062;181440764;9733815;18970982;buruk
90363128;89762149;0,618418037;0,700604604;Bidang Usaha;Bidang Usaha;46576780,5;-19876345,77;98195759;49733221;178646590;184873044;21269730;27402798;buruk
65117379;144895940;0,588738024;0,519441606;Bidang usaha;Bidang Lainnya;9470166,113;-441179,0935;94390046;48567930;194779777;177494861;21238551;28751090;buruk
63392785;139629858;0,237279022;0,448506738;Bidang Lainnya;Bidang Usaha;41886526,03;21177965,48;98775766;80038510;171629145;197092683;13409672;21366857;buruk
66003542;143225575;0,882568391;0,629509654;Bidang Usaha;Bidang Usaha;3181222,494;-13363484,77;99304848;39255450;197443510;171112418;32625118;38965352;buruk
60890302;121350692;0,237104898;0,301629899;Bidang Usaha;Bidang Usaha;1663683,476;-24862792,06;55146706;50039223;170177268;180341969;9289689;18472496;buruk
63086291;123821074;0,583816123;0,757492499;Bidang Usaha;Bidang Usaha;25595147,16;14814754,62;83656641;79169687;178831322;183271834;19592937;28606958;buruk
79330727;145238204;0,326632419;0,225515286;Bidang Lainnya;Bidang Lainnya;41709948,35;23892852,65;21596354;89439820;186938750;170226030;22771812;31591882;buruk
69014683;126094880;0,115598434;0,412030893;Bidang Usaha;Bidang Usaha;34230496,76;-22515282,33;65275731;40774654;181430451;180780414;29429218;37939938;buruk
61448793;111834726;0,45247704;0,973674772;Bidang usaha;Bidang usaha;28145954,19;-7724372,904;97758765;70301576;197353056;179650866;24200769;30224954;buruk
67810418;122920210;0,085023773;0,86532071;Bidang usaha;Bidang usaha;39304409,46;-18769013,38;65857698;50381240;188265908;182960564;26016484;33578205;buruk
75628901;133655749;0,841774797;0,675554233;Bidang Lainnya;Bidang Lainnya;41894423,42;-36115547,09;33750283;20197132;175117103;178655192;5654845;14856083;buruk
73446547;124090730;0,365026137;0,580789672;Bidang Usaha;Bidang Usaha;4970747,178;-27560753,57;32435526;99141671;184867234;176349208;17128693;26089885;buruk
80867958;134956634;0,708566933;0,585658164;Bidang Usaha;Bidang Usaha;24017584,49;9020241,167;89500427;36093755;189217179;191186942;21189277;28262653;buruk
69154164;115056335;0,238393334;0,472904231;Bidang usaha;Bidang usaha;12472637,08;-28244614,11;99575997;62550948;191192320;188228535;4280113;13524332;buruk
79328810;131194884;0,6350457;0,902238519;Bidang Usaha;Bidang Usaha;27916936,08;-10693414,99;83917742;70672083;195582071;178722668;11512415;17518168;buruk
90485731;149153065;0,384109628;0,706319976;Bidang usaha;Bidang usaha;41506503,5;-18246406,82;88611388;97649733;186603478;172832220;14730397;19804118;buruk
63427376;102610794;0,660342243;0,65054902;Bidang Usaha;Bidang Usaha;3680321,081;-23273989,21;99846517;49263703;196996420;181383158;14411139;24158852;buruk
84925614;136287718;0,826997129;0,952386512;Bidang Usaha;Bidang Usaha;54250027,57;21478771,41;65769251;28379369;191881361;186162971;6485379;15751845;buruk
84462426;135432684;0,739130443;0,796037541;Bidang Usaha;Bidang Usaha;48446893,52;19881534,3;44425299;61294907;195634174;180905659;14361615;23978655;buruk
90268681;139860028;0,655142807;0,993371636;Bidang Usaha;Bidang Usaha;40493704,8;19476062,21;23732796;74134586;189871664;175474023;30035703;37599711;buruk
82435566;125403445;0,454329431;0,956855538;Bidang Usaha;Bidang Usaha;52592818,74;-29030809,76;26402058;54083345;179707051;198994965;26379936;33145868;buruk
70691958;107509660;0,487612785;0,524384434;Bidang usaha;Bidang usaha;46824722,94;3149992,078;77797158;23126234;193348075;192502193;27488719;34849630;buruk
91944021;137228508;0,397541725;0,702286519;Bidang Usaha;Bidang Usaha;57389644,72;-30562889,14;90655432;89057921;176259597;190681835;28785709;36024071;buruk
77530494;114660229;0,866182834;0,641750481;Bidang Usaha;Bidang Usaha;24299559,2;-2915962,846;42486467;21974767;192627154;171400173;12500312;18164301;buruk
73863711;108187650;0,671468319;0,512312111;Bidang usaha;Bidang usaha;2456943,816;-14857911,76;28980362;53969395;180454110;175547356;12065003;20921733;buruk
82933257;121216019;0,57157654;0,633749357;Bidang usaha;Bidang Lainnya;52787336,43;-18003532,31;75591471;67946735;170813946;181200550;21068558;30237564;buruk
100920483;145691577;0,004377425;0,332065596;Bidang usaha;Bidang usaha;63688573,09;-43171843,23;24153723;35447735;188866163;183172110;4676294;13307724;buruk
99154495;137718417;0,856498219;0,76996113;Bidang usaha;Bidang usaha;5688328,575;-4788693,482;59353249;89521227;194148917;172226690;21018542;28449923;buruk
100668611;138545904;0,313891092;0,383842046;Bidang Usaha;Bidang Usaha;55480209,34;-33513316,1;61089284;95798837;196150568;196591870;5359092;12373945;buruk
64355307;87910402;0,77990079;0,651047338;Bidang usaha;Bidang usaha;11766680,64;2576447,32;70773238;89191028;174307068;177887105;5516693;12264124;buruk
70613388;95854558;0,38468475;0,954301422;Bidang Usaha;Bidang Usaha;93024,66232;-14491543,75;99985816;32675014;182675395;198914484;20775655;27542742;buruk
99366003;134817770;0,099422185;0,219342009;Bidang Usaha;Bidang Lain ;5463045,526;-18251323,23;45269252;45682035;183969785;186738840;21104775;26574856;buruk
72327162;96677940;0,606909141;0,967046373;Bidang usaha;Bidang usaha;8265203,363;312723,5756;73767402;77050209;174087329;178821367;15289575;22324879;buruk
62737976;83725667;0,722322201;0,581576793;Bidang usaha;Bidang usaha;21954536,84;6588720,048;37993603;57303613;171447626;198318009;12111543;21794556;buruk
108813113;144119874;0,047918907;0,908918407;Bidang usaha;Bidang usaha;54388742,96;-11100956,16;85360070;47075828;193061295;188383906;14238626;21801316;buruk
62848728;82718141;0,219620239;0,979099643;Bidang Usaha;Bidang Usaha;8824791,02;-585217,4258;37560220;48705598;179677793;189173667;6113844;14802903;buruk
112435906;147424306;0,115530229;0,47438543;Bidang Usaha;Bidang Usaha;35385582,57;-11691890,2;88781696;89246207;195673680;195659623;15609501;25353264;buruk
103124014;134235545;0,322520147;0,056096007;Bidang Usaha;Bidang Usaha;68447665,37;43116177,21;37981174;91462624;184085639;192887452;15599422;21326517;buruk
96525276;124833466;0,186279865;0,527240505;Bidang Usaha;Bidang Usaha;59133256,63;9026349,648;29138754;28099162;194053501;190838013;25237991;30495950;buruk
100581237;129086480;0,27832686;0,828628608;Bidang Usaha;Bidang Usaha;40103603,93;16476264,66;56044133;58799708;189452728;183446936;30367918;36251083;buruk
63566845;81337972;0,580231343;0,462375675;Bidang Usaha;Bidang Usaha;7944525,885;3652789,514;88663306;89986823;182737229;186770455;9526131;16841865;buruk
77067847;97514693;0,576946976;0,288320852;Bidang Usaha;Bidang Usaha;35048127,94;-21589298,1;64840906;45492550;170534020;172790587;23700861;31465830;buruk
106374081;134594054;0,261377715;0,722351873;Bidang Lainnya;Bidang Lainnya;65402206;-12167690,18;54627478;40787562;186985610;181503223;25903819;33864325;buruk
91903370;116132402;0,995027165;0,904807339;Bidang Lainnya;Bidang Usaha;27902498,51;-31724089,97;95780950;82803562;172987962;179401205;6833581;16556388;buruk
88450529;111274106;0,386257534;0,27813074;Bidang Usaha;Bidang Usaha;40006391,3;10249537,29;25767004;67620264;188292747;192335605;31146751;37257498;buruk
78513127;98167612;0,310960739;0,736865315;Bidang Usaha;Bidang Usaha;50143944,61;45316964,24;46876672;87086296;182454803;196467057;7899967;17831222;buruk
104293731;130192057;0,422481962;0,867027772;Bidang Usaha;Bidang Usaha;46918408,65;-9415853,226;49226061;75865962;175606937;195578973;2514638;11198276;buruk
118460083;147291156;0,708553704;0,798606612;Bidang Usaha;Bidang Usaha;80937519,98;3864154,769;71415573;61196590;176034080;182577755;7523572;16666847;buruk
64350385;79499919;0,040334213;0,624682278;Bidang Usaha;Bidang Usaha;7125845,07;5641436,677;99022867;71070853;174646739;186363821;21704446;28385612;buruk
91322565;112734160;0,444084059;0,834347379;Bidang Usaha;Bidang Usaha;40743353,63;-20152882,11;66682953;83198658;184922226;189268182;7481468;17124325;buruk
106262012;131147897;0,283666231;0,775259961;Bidang Usaha;Bidang Usaha;29005936,76;-15458614,7;81655469;80350962;188241020;182064221;31741507;39189377;buruk
108491427;132205115;0,462239108;0,284630067;Bidang usaha;Bidang usaha;42527238,7;-23958616,77;63140489;48528694;171563644;190138253;12286404;19970999;buruk
88838424;107660000;0,516243983;0,476820475;Bidang Usaha;Bidang Usaha;59539553,59;58981181,7;77473437;34799618;198781892;185764100;27618120;35640361;buruk
120864472;145864067;0,313148745;0,156474137;Bidang usaha;Bidang usaha;40810771,99;-35317778,88;43094239;28612686;190340569;182263545;21863728;27698396;buruk
125242888;149414821;0,644764409;0,420762812;Bidang Lainnya;Bidang Lainnya;29480866,2;28099920,75;77771846;98665293;175994890;186115032;15025079;20216532;buruk
111099462;131986939;0,731738628;0,625710192;Bidang Usaha;Bidang Usaha;75926974,06;-128904,8001;53670790;26235403;188828808;185352007;22657372;30489514;buruk
105532956;124472480;0,556844817;0,761657164;Bidang Usaha;Bidang Usaha;10476000,96;-36445322,27;36685263;93098899;183997500;192615265;23153426;31257395;buruk
108641052;127134791;0,890477354;0,61286074;Bidang Usaha;Bidang Usaha;59748786,4;-15267641,09;76565965;74317911;196097155;195144004;6624355;14748454;buruk
73080604;85490285;0,216583075;0,866394824;Bidang usaha;Bidang Lainnya;33136151,06;27657763,04;82056384;28697279;174586804;179416136;18010903;23066079;buruk
71363068;83393077;0,065375072;0,76092616;Bidang usaha;Bidang usaha;40199792,86;3360484,598;25798046;44617083;192765114;198829036;22262971;27370409;buruk
128159471;148624940;0,104099771;0,572117076;Bidang Usaha;Bidang Usaha;83386248,44;-20902596,16;26015092;60332112;179547953;196716547;22046831;29327603;buruk
104458899;120643002;0,442027666;0,149247779;Bidang Lainnya;Bidang Lainnya;72355160,98;-21128791,34;67244676;87742699;185704392;188360562;20900009;28366311;buruk
122997807;141126166;0,582303574;0,306356283;Bidang Usaha;Bidang Usaha;70380577,86;14986312,76;36581440;27045790;175631846;196927003;19531887;27932199;buruk
98864031;112280062;0,851955166;0,547029886;Bidang Lainnya;Bidang Lainnya;1093339,645;-28886581,02;71212590;40989280;170867793;195782545;8125221;16964039;buruk
